id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Afro Beats & Chill,Burner Boy,afrobeats,chill,0.65,105,0.78,0.85,0.25
12,Desert Wind,Kora Mirage,world,relaxed,0.30,85,0.62,0.50,0.88
13,Hyperdrive,Synth Riot,cyberpunk,intense,0.95,140,0.31,0.68,0.02
14,Symphony of Lights,Berlin Phil,classical,focused,0.25,74,0.40,0.22,0.95
15,Electric Horizon,Tokyo Glow,city pop,happy,0.78,116,0.83,0.80,0.12
16,Concrete Jungle,Grit MC,hiphop,dark,0.85,92,0.51,0.75,0.15
17,Subterranean Baselines,Deep Frequency,techno,hypnotic,0.88,126,0.20,0.70,0.01
18,Acoustic Campfire,Daisy Chain,folk,nostalgic,0.45,88,0.68,0.55,0.79
19,Neon Midnight,Retro Future,synthwave,energetic,0.80,120,0.72,0.74,0.10
20,Oceanic Drift,Tidal Mind,ambient,focused,0.20,55,0.35,0.30,0.90